,P_STATUS,P_YEAR,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,S_RA,S_DEC,S_MAG,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_MASS,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_LOG_G,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,S_RADIUS_EST,S_RA_H,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
2255,3.0,2014.0,13.817124,-0.000155,0.000155,295.57134,49.774586,14.35,709.83,-8.83,8.83,1.1077000000000001,1.06,-0.47,0.47,5731.0,-200.0,200.0,4.34,0.109,0.109,0.109,0.109,91.404803,91.404803,91.404803,787.74774,787.74774,787.74774,1.06,19.704757,1.0859805,0.78426952,1.850059,0.99337584,1.7540241,1.0504831,1.7540241,0.95891989,1.7540241,2.8136805,0.4660220875999998,0.0,0.0,0.0,0.29379366,1.50214,2.8648744,0.109
2256,3.0,2014.0,41.885775,-0.000228,0.000228,295.57134,49.774586,14.35,709.83,-8.83,8.83,1.1064,1.06,-0.47,0.47,5731.0,-200.0,200.0,4.34,0.229,0.229,0.229,0.22900001,20.708615,20.708615,20.708615,543.47888,543.47888,543.47888,1.06,19.704757,1.0859805,0.78426952,1.850059,0.99337584,1.7540241,1.0504831,1.7540241,0.95891989,1.7540241,2.8136805,0.4670808809,0.0,0.0,0.0,0.26646008,3.01549,9.3527288,0.229
2257,3.0,2014.0,3.137873,-1.3e-05,1.3e-05,296.1514,50.095806,14.707,620.09,-8.17,8.17,0.818,0.75,-0.37,0.37,5333.0,-200.0,200.0,4.62,0.04,0.04,0.04,0.040000001,254.78715,254.78715,254.78715,1017.8629,1017.8629,1017.8629,0.75,19.743428,0.40765944,0.4916279,1.1740564,0.62271488,1.1131117,0.65876934,1.1131117,0.60114616,1.1131117,1.7239018,0.39767373460000016,0.0,0.0,0.0,0.29350523,1.26673,2.1449845,0.04
2258,3.0,2014.0,4.302149,-8e-06,8e-06,296.1514,50.095806,14.707,620.09,-8.17,8.17,0.8357000000000001,0.75,-0.37,0.37,5333.0,-200.0,200.0,4.62,0.049,0.049,0.049,0.049000001,169.78736,169.78736,169.78736,919.64719,919.64719,919.64719,0.75,19.743428,0.40765944,0.4916279,1.1740564,0.62271488,1.1131117,0.65876934,1.1131117,0.60114616,1.1131117,1.7239018,0.40411906480000026,0.0,0.0,0.0,0.26272704,1.99538,4.6394796,0.049
2259,3.0,2014.0,9.825792,-6.2e-05,6.2e-05,289.83011,50.586246,14.896,1621.79,-54.97,54.97,1.0950000000000009,1.15,-0.51,0.51,6250.0,-200.0,200.0,4.4,0.096,0.096,0.096,0.096000002,196.18325,196.18325,196.18325,953.47738,953.47738,953.47738,1.15,19.322009,1.8080249,0.98055264,2.2856552,1.2419752,2.1670094,1.3128038,2.1670094,1.1987994,2.1670094,3.6304961,0.4441055149999999,0.0,0.0,0.0,0.23372178,2.5783,7.1688075,0.096
2260,3.0,2014.0,20.684342,-9.7e-05,9.7e-05,289.83011,50.586246,14.896,1621.79,-54.97,54.97,1.098100000000001,1.15,-0.51,0.51,6250.0,-200.0,200.0,4.4,0.157,0.157,0.157,0.157,73.35084,73.35084,73.35084,745.58332,745.58332,745.58332,1.15,19.322009,1.8080249,0.98055264,2.2856552,1.2419752,2.1670094,1.3128038,2.1670094,1.1987994,2.1670094,3.6304961,0.4457685663999999,0.0,0.0,0.0,0.21011337,3.43026,11.640251,0.157
2261,3.0,2014.0,5.687945,-2e-05,2e-05,293.53085,39.315898,14.943,1082.6,-29.16,29.16,0.9953000000000004,0.96,-0.41,0.41,5888.0,-200.0,200.0,4.5,0.064,0.064,0.064,0.064000002,242.29384,242.29384,242.29384,1005.1491,1005.1491,1005.1491,0.96,19.568724,0.99243556,0.74266625,1.7447738,0.94067601,1.6542042,0.99461483,1.6542042,0.90802654,1.6542042,2.6897687,0.3411905855999999,0.0,0.0,0.0,0.25702835,2.06264,4.9081044,0.064
2262,3.0,2014.0,11.637071,-5.5e-05,5.5e-05,293.53085,39.315898,14.943,1082.6,-29.16,29.16,0.9944000000000003,0.96,-0.41,0.41,5888.0,-200.0,200.0,4.5,0.103,0.103,0.103,0.103,93.54657,93.54657,93.54657,792.3223,792.3223,792.3223,0.96,19.568724,0.99243556,0.74266625,1.7447738,0.94067601,1.6542042,0.99461483,1.6542042,0.90802654,1.6542042,2.6897687,0.3396238502999998,0.0,0.0,0.0,0.25508514,2.27563,5.7992597,0.103
2263,3.0,2014.0,10.687576,-2.5e-05,2.5e-05,291.95191,43.074715,14.338,621.24,-6.18,6.18,0.9585999999999995,0.87,-0.49,0.49,5788.0,-200.0,200.0,4.51,0.092,0.092,0.092,0.092000002,89.921923,89.921923,89.921923,784.53316,784.53316,784.53316,0.87,19.463462,0.76109916,0.65431987,1.5411491,0.828777,1.4611494,0.87637662,1.4611494,0.80002354,1.4611494,2.355507,0.33012879269999973,0.0,0.0,0.0,0.25130666,2.36531,6.1925912,0.092
2264,3.0,2014.0,20.303005,-8.7e-05,8.7e-05,291.95191,43.074715,14.338,621.24,-6.18,6.18,0.9573999999999994,0.87,-0.49,0.49,5788.0,-200.0,200.0,4.51,0.141,0.141,0.141,0.141,38.28274,38.28274,38.28274,633.71745,633.71745,633.71745,0.87,19.463462,0.76109916,0.65431987,1.5411491,0.828777,1.4611494,0.87637662,1.4611494,0.80002354,1.4611494,2.355507,0.3302538757999997,0.0,0.0,0.0,0.2901156,1.97296,4.5513229,0.141
2265,3.0,2014.0,29.022358,-0.000176,0.000176,291.95191,43.074715,14.338,621.24,-6.18,6.18,0.9581999999999994,0.87,-0.49,0.49,5788.0,-200.0,200.0,4.51,0.179,0.179,0.179,0.179,23.753914,23.753914,23.753914,562.44324,562.44324,562.44324,0.87,19.463462,0.76109916,0.65431987,1.5411491,0.828777,1.4611494,0.87637662,1.4611494,0.80002354,1.4611494,2.355507,0.3319767354999997,0.0,0.0,0.0,0.28340512,2.48862,6.7506189,0.179
2266,3.0,2014.0,1.6329,-5e-06,5e-06,282.4681,43.889915,14.458,473.07,-4.79,4.79,0.9207,0.81,-0.46,0.46,5208.0,-200.0,200.0,4.54,0.026,0.026,0.026,0.026000001,639.72878,639.72878,639.72878,1281.2795,1281.2795,1281.2795,0.81,18.831208,0.43245666,0.50975259,1.2227315,0.64567416,1.1592598,0.68314814,1.1592598,0.62331781,1.1592598,1.7755588,0.3460919215,0.0,0.0,0.0,0.29302408,1.16584,1.6844027,0.026
2267,3.0,2014.0,20.729042,-9.7e-05,9.7e-05,282.4681,43.889915,14.458,473.07,-4.79,4.79,0.9254000000000001,0.81,-0.46,0.46,5208.0,-200.0,200.0,4.54,0.139,0.139,0.139,0.139,22.382726,22.382726,22.382726,554.14466,554.14466,554.14466,0.81,18.831208,0.43245666,0.50975259,1.2227315,0.64567416,1.1592598,0.68314814,1.1592598,0.62331781,1.1592598,1.7755588,0.34312141420000003,0.0,0.0,0.0,0.31079847,2.0178,4.7283306,0.139
2268,3.0,2014.0,3.8867907,-6.3e-06,6.2e-06,298.65271,43.955017,14.625,172.0,-10.0,13.0,0.54,0.52,-0.02,0.02,3755.0,-90.0,90.0,4.74,0.0343,0.0343,0.0343,0.034300001,40.939908,40.939908,40.939908,644.43872,644.43872,644.43872,0.52,19.910182,0.048165392,0.17884445,0.45824683,0.22653352,0.43445348,0.24009497,0.43445348,0.21867591,0.43445348,0.59255862,0.36702819,0.0,0.0,0.0,0.32624603,1.06495,1.2177294,0.0343
2269,3.0,2014.0,7.267302,-1.1e-05,1.2e-05,298.65271,43.955017,14.625,172.0,-10.0,13.0,0.54,0.52,-0.02,0.02,3755.0,-90.0,90.0,4.74,0.0451,0.0451,0.0451,0.045100001,23.680017,23.680017,23.680017,562.0053,562.0053,562.0053,0.52,19.910182,0.048165392,0.17884445,0.45824683,0.22653352,0.43445348,0.24009497,0.43445348,0.21867591,0.43445348,0.59255862,0.36702819,0.0,0.0,0.0,0.34527624,1.25552,2.1128564,0.0451
2270,3.0,2014.0,13.342996,-2.4e-05,2.5e-05,298.65271,43.955017,14.625,172.0,-10.0,13.0,0.54,0.52,-0.02,0.02,3755.0,-90.0,90.0,4.74,0.0781,0.0781,0.0781,0.078100002,7.8964708,7.8964708,7.8964708,427.07403,427.07403,427.07403,0.52,19.910182,0.048165392,0.17884445,0.45824683,0.22653352,0.43445348,0.24009497,0.43445348,0.21867591,0.43445348,0.59255862,0.36702819,0.0,0.0,0.0,0.4392662,1.40125,2.5458987,0.0781
2271,3.0,2014.0,22.407704,-7.2e-05,7.4e-05,298.65271,43.955017,14.625,172.0,-10.0,13.0,0.54,0.52,-0.02,0.02,3755.0,-90.0,90.0,4.74,0.11,0.11,0.11,0.11,3.9806109,3.9806109,3.9806109,359.85898,359.85898,359.85898,0.52,19.910182,0.048165392,0.17884445,0.45824683,0.22653352,0.43445348,0.24009497,0.43445348,0.21867591,0.43445348,0.59255862,0.36702819,0.0,0.0,0.0,0.56873416,1.26673,2.1449845,0.11
2272,3.0,2014.0,129.9441,-0.0012,0.0013,298.65271,43.955017,14.625,172.0,-10.0,13.0,0.54,0.52,-0.02,0.02,3755.0,-90.0,90.0,4.74,0.4323456,0.41472,0.44928,0.43208645,0.2582946,0.23861675,0.28004327,181.5697,178.06155,185.33233,0.52,19.910182,0.048165392,0.17884445,0.45824683,0.22653352,0.43445348,0.24009497,0.43445348,0.21867591,0.43445348,0.59255862,0.36702819,1.0,1.0,1.0,0.5796919,1.16584,1.6844027,0.432
